regional,circunscricao,site_oficial,url_fonte,titulo_pagina,cnpj_detectado,emails_detectados,telefones_detectados,trechos_doacao,data_coleta,status_validacao
Regional Norte II,Diocese de Ponta de Pedras,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/02/paroquias-da-diocese-promoverao.html,Paróquias da Diocese promoverão encontros durante o Carnaval,,,,"Dízimo e espiritualidade | Por: Pe. Edileno Felix “Quanto mais nos damos a Deus, mais Ele se dá a nós” (Santa Elisabete da Trindade). Neste mês de Agosto, temos a oportunidade de refletir sobre o dizimo e a espiritualidade, e buscando o sentido da vida espiritual encontramos no catecism | Dízimo: fundamentos antropológicos, histórico-bíblicos e teológicos | Ordem antropológica Para se falar de dízimo, é preciso, antes de tudo, considerar uma verdade de ordem antropológica e histórica: o homem sempre se viu na necessidade de oferecer algo à Divindade, de desfazer-se de algum bem seu para consagrá-lo a Deus. Na ver",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Norte II,Diocese de Ponta de Pedras,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2018/08/paroquia-de-curralinho-sediara-encontro.html,Paróquia de Curralinho sediará encontro regional da juventude,,,,"Dízimo e espiritualidade | Por: Pe. Edileno Felix “Quanto mais nos damos a Deus, mais Ele se dá a nós” (Santa Elisabete da Trindade). Neste mês de Agosto, temos a oportunidade de refletir sobre o dizimo e a espiritualidade, e buscando o sentido da vida espiritual encontramos no catecism | Dízimo: fundamentos antropológicos, histórico-bíblicos e teológicos | Ordem antropológica Para se falar de dízimo, é preciso, antes de tudo, considerar uma verdade de ordem antropológica e histórica: o homem sempre se viu na necessidade de oferecer algo à Divindade, de desfazer-se de algum bem seu para consagrá-lo a Deus. Na ver",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Norte II,Diocese de Ponta de Pedras,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,É criada uma nova paróquia em Curralinho,,,,"No início da celebração, logo após a saudação inicial, o chanceler da cúria diocesana, Pe. Tadeu Pimentel, fez a leitura do decreto de criação da nova paróquia e, logo em sequência, do decreto de nomeação dos primeiros párocos, os quais fizeram sua profissão d | Dízimo e espiritualidade | Por: Pe. Edileno Felix “Quanto mais nos damos a Deus, mais Ele se dá a nós” (Santa Elisabete da Trindade). Neste mês de Agosto, temos a oportunidade de refletir sobre o dizimo e a espiritualidade, e buscando o sentido da vida espiritual encontramos no catecism | Dízimo: fundamentos antropológicos, histórico-bíblicos e teológicos | Ordem antropológica Para se falar de dízimo, é preciso, antes de tudo, considerar uma verdade de ordem antropológica e histórica: o homem sempre se viu na necessidade de oferecer algo à Divindade, de desfazer-se de algum bem seu para consagrá-lo a Deus. Na ver",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Norte III,Diocese de Miracema do Tocantins,http://diocesedemiracemato.org.br/,https://diocesedemiracemato.org.br/,Diocese de Miracema do Tocantins,,diocesemiracematocantins@gmail.com; diocesemirato@uol.com.br,(63) 9 9957-9384; 2016-2026,"SEMANA DIOCESANA DO DÍZIMO | ""Dízimo é um belo gesto de amor que brota do coração""",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Norte II,Diocese de Cametá,https://diocesecameta.com.br/,https://diocesecameta.com.br/paroquia-sao-jose-em-tucurui-acolhe-seu-novo-paroco-pe-francisco-ivo/,Paróquia São José em Tucuruí acolhe seu novo pároco Pe. Francisco Ivo - Diocese de Cametá,,,(91) 992691597; (91) 993945598,"Dom Altevir, em sua homilia destacou os símbolos que são apresentados na liturgia “ as chaves da Igreja, não para fechar, mas abrir caminhos novos para Evangelização de uma Igreja na Amazônia, com um rosto amazônico, para abrir esperança para o povo, e dentro ",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Norte II,Diocese de Cametá,https://diocesecameta.com.br/,https://diocesecameta.com.br/2o-encontro-da-pastoral-do-dizimo-regional-norte-2/,2º Encontro da Pastoral do Dízimo - Regional Norte 2 - Diocese de Cametá,,,(91) 992691597; (91) 993945598,"2º Encontro da Pastoral do Dízimo - Regional Norte 2 - Diocese de Cametá | 2º Encontro da Pastoral do Dízimo – Regional Norte 2 | Entre os dias 23 a 25/09/2022 no Centro de Evangelização São João Paulo II, em Belém,  aconteceu o 2⁰ Encontro da Pastoral do Dízimo do Regional Norte II,  com a assessoria de Aristides Madureira,  com o tema:  “Dízimo, sinal de comunhão, participação e missão | Na ocasião, se fez presente Claúdio Henrique Silva e Rosilda Silva (C asal Coordenador Diocesano da Pastoral Dízimo) , o Diác. Rosinaldo Batista (representante do Clero acompanhante da pastoral do Dízimo) e vários leigos enviados das paróquias da Diocese de Ca | Foi um momento rico de partilha de experiência, estudo e aprendizado que ajudará na missão da pastoral do Dízimo em nossa igreja particular.",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste III,Diocese de Amargosa,http://www.diocesedeamargosa.com.br,https://diocesedeamargosa.com.br/,INICIAL,13.562.038/0001-08,dioceseamargosa@gmail.com,(75) 99838-8516,Cada gesto de amor constrói o amanhã. Ajude-nos na reforma do nosso Seminário em Salvador. Contribua via Pix – 13.562.038/0001-08 e seja parte dessa obra que sustenta a formação de futuros sacerdotes. Gratidão pela sua generosidade!,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste II,Diocese de Guarabira,http://diocesedeguarabira.blogspot.com.br/,http://diocesedeguarabira.blogspot.com/,DIOCESE DE GUARABIRA,,,,"Diocese de Guarabira realizará o 3° Encontrão Diocesano do Dízimo | Senhora da Boa Viagem, em Alagoa Grande-PB, o 3° Encontrão Diocesano do Dízimo, | no qual, contaremos com a presença de todos os Missionários do Dízimo e | seus ganhos irá separar para o dízimo. Como visto, a Igreja não exige a doação | de 10% de tudo o que você ganha. Porém, para ser considerado dízimo, é preciso | Providência Divina, optaram pelo dízimo integral, isto é, pela doação dos 10%",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste II,Diocese de Afogados da Ingazeira,http://diocesedeafogados.blogspot.com/,https://diocesedeafogados.blogspot.com/2013/02/assembleia-paroquial-da-comunidade-de.html,Assembleia Paroquial da Comunidade de São Francisco de Assis,,,,A campanha de Evangelização do Dizimo (cuja coordenação irá encontra-se para definir estratégias);,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste III,Diocese de Itabuna,http://diocesedeitabuna.com.br/,https://diocesedeitabuna.com.br/padre-pedro-vinicius-assume-a-paroquia-santo-antonio-em-itabuna/,Padre Pedro Vinícius assume a Paróquia Santo Antônio em Itabuna – Diocese de Itabuna – Bahia,14.615.249/0001-16,,,"A cerimônia reuniu uma multidão de fiéis, clero diocesano, seminaristas, além de autoridades civis, políticas e religiosas, que testemunharam o rito de entrega das chaves da igreja e do pastoreio desta porção do povo de Deus ao novo pároco.",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste III,Diocese de Itabuna,http://diocesedeitabuna.com.br/,https://diocesedeitabuna.com.br/buerarema-casa-da-crianca-padre-jose-carlos-realizou-evento-para-as-criancas/,Buerarema: Casa da Criança Padre José Carlos realizou evento para as crianças – Diocese de Itabuna – Bahia,14.615.249/0001-16,,,"“Queremos atender a um número maior de crianças, mas, para que isso ocorra, precisamos que a   comunidade abrace essa causa, pois dependemos exclusivamente de doações. Se quiser ajudar a manter esse projeto tão lindo, é só acessar o nosso  blog:  accpjcbuerare",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Norte I,Diocese de Roraima,https://diocesederoraima.org.br/,https://diocesederoraima.org.br/assessor-de-comunicacao-do-regional-norte-i-da-cnbb-padre-luis-miguel-retorna-a-espanha-apos-19-anos-de-missao-no-brasil/,"Assessor de comunicação do Regional Norte I da CNBB, padre Luis Miguel retorna à Espanha após 19 anos de missão no Brasil – Diocese de Roraima",,curiarr@yahoo.com.br,2018-2019; 2021-2024; 95 3224-3741,"Padre Modino, como nós sempre o chamamos, foi e continua sendo um grande colaborador da Rádio Vaticano – Vatican News. Ao longo de muitos anos ele foi nossos olhos, ouvidos e presença na realidade da Amazônia, na realidade da nossa Igreja entre os indígenas, r",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste I,Diocese de Iguatu,http://www.diocesedeiguatu.org.br/,https://www.diocesedeiguatu.org.br/pastoral-da-pessoa-idosa-ppi-da-paroquia-do-prado-realiza-missa-e-confraternizacao-de-natal-na-veneza/,Pastoral da Pessoa Idosa (PPI) da Paróquia do Prado realiza Missa e Confraternização de Natal na Veneza – DIOCESE DE IGUATU,,,2021 2023; 2024-2025,"Foi um momento contagiante, proporcionando aos idosos e convidados uma celebração em espírito natalino, experimentando a alegria da doação, partilha e o amor ao próximo. Cada idoso ao final recebeu das mãos das Líderes um presente com uma singela lembrança do ",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste I,Diocese de Iguatu,http://www.diocesedeiguatu.org.br/,https://www.diocesedeiguatu.org.br/,DIOCESE DE IGUATU – Site Oficial da Diocese de Iguatu-CE,,,1925-2019; 2021 2023; 2024-2025,"Luckia Apuestas es una empresa líder en el sector del entretenimiento y las apuestas en España. Con una sólida reputación por su innovación y diversión, Luckia se ha consolidado como una de las marcas más reconocidas en el corazón de España. Su compromiso con  | En resumen, Luckia Apuestas es sinónimo de innovación, diversión y confianza en el mundo de las apuestas en España. Con una amplia oferta de eventos deportivos, juegos de casino y promociones atractivas, Luckia se destaca como una de las opciones más completas",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste III,Arquidiocese de Feira de Santana,http://www.arquidiocese-fsa.org.br/,https://arquidiocese-fsa.org.br/,Home -,,arquidiocesedefeiradesantana@gmail.com,75 3023 8250; 75 99865 3424,"Ajude a Arquidiocese na realizações de suas ações sociais, fazendo a sua doação às instituições e organizações de evangelização, promoção | Ajude a Arquidiocese a evangelizar e realizar suas ações sociais, fazendo a sua doação para colaborar com a Cáritas Arquidiocesana, o Centro Social Monsenhor Jessé, o Espaço Viva Mulher, as Pastorais Sociais, a Associação de Apoio aos Pacientes do SUS – AAPSUS",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste III,Diocese de Caetité,http://www.diocesedecaetite.org.br/,https://diocesedecaetite.org.br/paroquia-de-riacho-de-santana-homenageia-as-maes/,Paróquia de Riacho de Santana homenageia as mães - Diocese de CaetitéDiocese de Caetité,,curiacte@gmail.com,(77) 3454-4405; (77) 9837-5238; 2016-2026,"Uma missa campal foi celebrada na cidade. Presidida pelo Pe. Geraldo de Bom Jesus da Lapa, e concelebrada pelos padres Izaías e Lely, de Riacho de Santa, a celebração pediu bençãos e proteção para as mães. Durante a celebração, no momento das ofertas, as mães ",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste III,Diocese de Livramento de Nossa Senhora,http://www.diocesedelivramento.org/,https://www.diocesedelivramento.org/clero-diocesano,Clero Diocesano | Diocese de Livramento,,curialivramento@gmail.com,(77) 3444-2433; (77) 99916-6506,© 2025 - Todos direitos reservados - Diocese de Livramento - Agência Redentor,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste III,Diocese de Livramento de Nossa Senhora,http://www.diocesedelivramento.org/,https://www.diocesedelivramento.org/pastoraldodizimo,Pastoral do Dízimo | Diocese de Livramento,,046c982186afa15dc9513490293d26b1@o37417.ingest.sentry.io; 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com; 460ff4620fa44cba8df530afde949785@sentry.wixpress.com; 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com; 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com,(77) 3444-2433; (77) 99916-6506; 0002322587; 05800924; 12039581,"Pastoral do Dízimo | Diocese de Livramento | O dízimo não é apenas um ato de doação material, mas um gesto de comunhão e corresponsabilidade, refletindo o espírito da partilha ensinado por Cristo. Ao partilhar os dons recebidos de Deus, cada membro da comunidade testemunha a generosidade e a gratidão, co | © 2025 - Todos direitos reservados - Diocese de Livramento - Agência Redentor | {""siteFeaturesConfigs"":{""accessibilityBrowserZoom"":{""isBuilder"":false,""isStudio"":false},""appMonitoring"":{""appsWithMonitoring"":[{""appId"":""1380b703-ce81-ff05-f115-39571d94dfcd"",""isWixTPA"":true,""monitoringComponent"":{""monitoring"":{""type"":""PANORAMA"",""panoramaOptio",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste III,Diocese de Livramento de Nossa Senhora,http://www.diocesedelivramento.org/,https://www.diocesedelivramento.org/paroquias,Paróquias | Diocese de Livramento,,2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com; 460ff4620fa44cba8df530afde949785@sentry.wixpress.com; 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com; 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com; 8c4075d5481d476e945486754f783364@sentry.io,(77) 3444-2433; (77) 99916-6506; 05800924; 12039581; 14666402,"© 2025 - Todos direitos reservados - Diocese de Livramento - Agência Redentor | {""siteFeaturesConfigs"":{""accessibilityBrowserZoom"":{""isBuilder"":false,""isStudio"":false},""appMonitoring"":{""appsWithMonitoring"":[{""appId"":""1380b703-ce81-ff05-f115-39571d94dfcd"",""isWixTPA"":true,""monitoringComponent"":{""monitoring"":{""type"":""PANORAMA"",""panoramaOptio",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste IV,Arquidiocese de Teresina,http://www.arquidiocesedeteresina.org.br/,http://arquidiocesedeteresina.org.br/2017/01/17/paroquia-de-santa-luzia-esta-com-inscricoes-abertas-para-curso-de-acolito/,Paróquia de Santa Luzia abre inscrições para curso de acólito – Arquidiocese de Teresina,,,(86) 99967-0331,"“Um treino de educação para a fé e para a caridade dirigida ao próximo”, assim define o Papa Francisco aqueles que optam por se doar a vocação de servir ao altar. E para aqueles que desejam seguir a caminhada na Igreja como acólito a paróquia de Santa Luzia, n | João conta que a formação terá como sede a Igreja Matriz e a experiência ofertará aos participantes um desabrochar da vida missionária. “A intenção é contribuir para uma melhor consciência de que os acólitos não são meros servidores de mesa, mas servidores de  | O curso é gratuito. Todo o cronograma como ensinamentos a respeito da liturgia e noções básicas de uma celebração, além das atividades práticas, será custeado pela paróquia. “Ofertaremos momentos de troca de experiências com aqueles que já servem e os interess",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste IV,Arquidiocese de Teresina,http://www.arquidiocesedeteresina.org.br/,http://arquidiocesedeteresina.org.br/2017/01/04/comunidade-catolica-shalom-promove-acampamento-para-jovens/,Comunidade Católica Shalom promove acampamento para jovens – Arquidiocese de Teresina,,,(86) 3213-7004; (86) 9 8884-8583; (86) 9 9911-5945,"De acordo com a organização, janeiro é um mês de férias para muitos jovens estudantes e a ideia é ofertar  quatro dias de uma programação que “vai abranger momentos de lazer, incluindo shows, atividades de entretenimento e uma experiência forte com o “Amor de ",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Nordeste IV,Arquidiocese de Teresina,http://www.arquidiocesedeteresina.org.br/,http://arquidiocesedeteresina.org.br/2017/02/10/grupos-de-oracao-da-paroquia-nossa-senhora-de-fatima-promovem-campanha-de-doacao-de-sangue/,Grupos de oração da Paróquia Nossa Senhora de Fátima promovem campanha de doação de sangue – Arquidiocese de Teresina,,,99828-6687,"Grupos de oração da Paróquia Nossa Senhora de Fátima promovem campanha de doação de sangue – Arquidiocese de Teresina | Grupos de oração da Paróquia Nossa Senhora de Fátima promovem campanha de doação de sangue | Notícias Grupos de oração da Paróquia Nossa Senhora de Fátima promovem campanha de doação de sangue | “A vida de alguém pode depender de uma atitude sua”. Essa é a temática e o chamamento para uma importante ação de doação de sangue que jovens dos grupos de oração Moises e Isaac, da Paróquia Nossa Senhora de Fátima, irão realizar no próximo dia 17 de fevereiro | “Nós que fazemos a paróquia, estamos muito empolgados e mobilizando toda a comunidade. Os bancos de sangue estão baixos e há uma grande preocupação porque estamos nos aproximando das festas carnavalescas onde aumentam as demandas pelo crescimento de ocorrência | A organização da campanha reforça que a ação de coleta acontecerá na sede do Hemopi,  mas aqueles irmãos que não tem como se deslocar até o local para fazer a doação, a organização informa que irá disponibilizar um ônibus nos turnos manhã (das 8h às 10h) e tar",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Leste 1,Diocese de Duque de Caxias,https://diocesededuquedecaxias.org.br/,https://diocesededuquedecaxias.org.br/clero-de-duque-de-caxias-se-reune-diante-da-cruz-jubilar-do-regional-leste-1/,Clero de Duque de Caxias se reúne diante da Cruz Jubilar do Regional Leste 1 - Diocese de Duque de Caxias,,,,© Diocese de Duque de Caxias 2026. Todos os Direitos Reservados | Desenvolvido por: Agência Hesed.,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Leste 1,Diocese de Duque de Caxias,https://diocesededuquedecaxias.org.br/,https://diocesededuquedecaxias.org.br/dom-tarcisio-nomeia-padre-bruno-oliveira-como-novo-vigario-geral-da-diocese/,Dom Tarcisio nomeia Padre Bruno Oliveira como novo Vigário-Geral da Diocese - Diocese de Duque de Caxias,,,,"“Causa-me tremor e temor suceder neste ofício a dois grandes padres de nossa Igreja Particular, primeiro o Padre Armando Cellere, que por tantos anos foi nosso Vigário-Geral, sendo esteio de Dom Mauro Morelli durante o seu pastoreio, sempre com muito empenho,  | © Diocese de Duque de Caxias 2026. Todos os Direitos Reservados | Desenvolvido por: Agência Hesed.",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Leste 1,Diocese de Duque de Caxias,https://diocesededuquedecaxias.org.br/,https://diocesededuquedecaxias.org.br/a-comunidade-crista-e-a-prevencao-do-suicidio-uma-breve-reflexao/,A comunidade cristã e a prevenção do suicídio: uma breve reflexão - Diocese de Duque de Caxias,,,,© Diocese de Duque de Caxias 2026. Todos os Direitos Reservados | Desenvolvido por: Agência Hesed.,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Leste 1,Diocese de Duque de Caxias,https://diocesededuquedecaxias.org.br/,https://diocesededuquedecaxias.org.br/frei-jean-ajluni-assume-como-novo-paroco-da-paroquia-santa-clara/,Frei Jean Ajluni assume como novo pároco da Paróquia Santa Clara - Diocese de Duque de Caxias,,,,© Diocese de Duque de Caxias 2026. Todos os Direitos Reservados | Desenvolvido por: Agência Hesed.,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Leste 1,Diocese de Duque de Caxias,https://diocesededuquedecaxias.org.br/,https://diocesededuquedecaxias.org.br/julho-mes-do-dizimo/,Julho: Mês do Dízimo - Diocese de Duque de Caxias,,,,"Julho: Mês do Dízimo - Diocese de Duque de Caxias | Início Artigos Julho: Mês do Dízimo | De forma pedagógica, a Igreja incentiva os fiéis a tornarem-se, ainda mais, conscientes da responsabilidade de oferecer o Dízimo, em suas paróquias. | Não se utiliza a estipulação de porcentagem da renda dos dizimistas, mas uma doação de compromisso de acordo com a sua possibilidade e disposição: uma proposta de participação do fiel na Igreja. | A respeito, o Papa Bento XVI extinguiu o termo “dízimos” do quinto Mandamento da Igreja, conforme Compêndio do Catecismo da Igreja Católica por ele promulgado em 28 de junho de 2005 e republicado pela CNBB: “Atender às necessidades materiais da Igreja, cada qu | Na Assembleia Geral dos dos Bispos de 2014, foi designada uma Comissão Episcopal para fazer um estudo sobre a Pastoral do Dízimo no Brasil. E, nós bispos aprovamos uma mensagem aos agentes da Pastoral do Dízimo. O texto explica que a comissão “irá conhecer as ",2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Leste 1,Diocese de Duque de Caxias,https://diocesededuquedecaxias.org.br/,https://diocesededuquedecaxias.org.br/pandemia-clero-da-diocese-de-duque-de-caxias-se-une-para-agradecer-aos-profissionais-de-saude/,PANDEMIA: CLERO DA DIOCESE DE DUQUE DE CAXIAS SE UNE PARA AGRADECER AOS PROFISSIONAIS DE SAÚDE - Diocese de Duque de Caxias,,,,© Diocese de Duque de Caxias 2026. Todos os Direitos Reservados | Desenvolvido por: Agência Hesed.,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Leste 1,Diocese de Duque de Caxias,https://diocesededuquedecaxias.org.br/,https://diocesededuquedecaxias.org.br/clero-elege-novos-membros-do-conselho-presbiteral-da-diocese-de-duque-de-caxias/,Clero elege novos membros do Conselho Presbiteral da Diocese de Duque de Caxias - Diocese de Duque de Caxias,,,,© Diocese de Duque de Caxias 2026. Todos os Direitos Reservados | Desenvolvido por: Agência Hesed.,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
Regional Leste 1,Diocese de Duque de Caxias,https://diocesededuquedecaxias.org.br/,https://diocesededuquedecaxias.org.br/paroquias/,Paróquias - Diocese de Duque de Caxias,,contato@diocesededuquedecaxias.org.br,+55 21) 3552-9900,© Diocese de Duque de Caxias 2026. Todos os Direitos Reservados | Desenvolvido por: Agência Hesed.,2026-06-07,detectado_automaticamente_em_site_publico; requer_confirmacao_manual
