regional,sigla_estados_regional,circunscricao,tipo_circunscricao,estado,municipio,regiao,bairro,endereco,nome_da_igreja_paroquia,cnpj,canal_de_doacoes,contato,nome_do_paroco,site_oficial_circunscricao,url_fonte,fonte,data_coleta,status_validacao
Regional Norte II,"PA, AP",Diocese de Castanhal,Diocese,,,,,,paróquia desde sua,,,,Pedro Bodei,http://diocesedecastanhal.blogspot.com/,http://diocesedecastanhal.blogspot.com/2013/08/paroquia-joao-paulo-ii-recebe-pedra.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Castanhal,Diocese,,,,,,"comunidade de modo geral fez festa junto com o padre, que também se",,,,Pedro Bodei,http://diocesedecastanhal.blogspot.com/,http://diocesedecastanhal.blogspot.com/2013/08/paroquia-joao-paulo-ii-recebe-pedra.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Castanhal,Diocese,,,,,,"paróquia João Paulo II, possa se erguer fisicamente e crescer mais",,,,Pedro Bodei,http://diocesedecastanhal.blogspot.com/,http://diocesedecastanhal.blogspot.com/2013/08/paroquia-joao-paulo-ii-recebe-pedra.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Castanhal,Diocese,,,,,,Catedral em Castanhal,,,,,http://diocesedecastanhal.blogspot.com/,http://diocesedecastanhal.blogspot.com/2013/11/bispo-e-padres-avisam-do-acontecimento.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste II,"AL, PB, PE, RN",Arquidiocese de Olinda e Recife,Arquidiocese,,,,,,Catedral Cúria Metropolitana,,ver página de doações/trechos detectados,aorcomunicacao@gmail.com; 2017-2025; 81 3271.4270,,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/criada-a-106%c2%aa-paroquia-jesus-cristo-bom-pastor/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste II,"AL, PB, PE, RN",Arquidiocese de Olinda e Recife,Arquidiocese,,,,,,Catedral Cúria Metropolitana,,ver página de doações/trechos detectados,aorcomunicacao@gmail.com; 2017-2025; 81 3271.4270,,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/nota-de-pesar-da-arquidiocese-de-olinda-e-recife-pelo-falecimento-do-padre-luiz-gonzaga/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste II,"AL, PB, PE, RN",Arquidiocese de Olinda e Recife,Arquidiocese,,,,,,Catedral Cúria Metropolitana,,ver página de doações/trechos detectados,aorcomunicacao@gmail.com; 2017-2025; 81 3271.4270,Antônio Henrique Pereira Neto,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/em-pe-comissao-da-verdade-recebe-dossie-do-caso-padre-henrique/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste II,"AL, PB, PE, RN",Arquidiocese de Olinda e Recife,Arquidiocese,,,,,,Catedral Cúria Metropolitana,,ver página de doações/trechos detectados,aorcomunicacao@gmail.com; 2017-2025; 81 3271.4270,,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/comissoes-de-catequese-e-comunicacao-convocam-representantes-das-paroquias-do-vicariato-para-reunioes/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste II,"AL, PB, PE, RN",Arquidiocese de Olinda e Recife,Arquidiocese,,,,,,"Paróquia Nossa Senhora das Candeias, Jaboatão, padre Acácio Carvalho",,ver página de doações/trechos detectados,aorcomunicacao@gmail.com; 2017-2025; 81 3271.4270,,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/comissoes-de-catequese-e-comunicacao-convocam-representantes-das-paroquias-do-vicariato-para-reunioes/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste II,"AL, PB, PE, RN",Arquidiocese de Olinda e Recife,Arquidiocese,,,,,,Paróquia do Cabo inaugura Centro Social e Sede do Vicariato,,ver página de doações/trechos detectados,aorcomunicacao@gmail.com; 2017-2025; 81 3271.4270,,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/paroquia-do-cabo-inaugura-centro-social-e-sede-do-vicariato/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste II,"AL, PB, PE, RN",Arquidiocese de Olinda e Recife,Arquidiocese,,,,,,Catedral Cúria Metropolitana,,ver página de doações/trechos detectados,aorcomunicacao@gmail.com; 2017-2025; 81 3271.4270,,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/paroquia-do-cabo-inaugura-centro-social-e-sede-do-vicariato/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste II,"AL, PB, PE, RN",Arquidiocese de Olinda e Recife,Arquidiocese,,,,,,Catedral Cúria Metropolitana,,ver página de doações/trechos detectados,aorcomunicacao@gmail.com; 2017-2025; 81 3271.4270,,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/missa-de-7%c2%ba-dia-do-padre-carlos-avanzi/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste II,"AL, PB, PE, RN",Arquidiocese de Olinda e Recife,Arquidiocese,,,,,,Catedral Cúria Metropolitana,,ver página de doações/trechos detectados,aorcomunicacao@gmail.com; paroquiaslm@hotmail.com; 2017-2025; 35250277; 81 3271.4270,Hector Ruiz; Héctor Ruiz,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/padre-hector-ruiz-concede-entrevista-ao-portal-zenit/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste II,"AL, PB, PE, RN",Arquidiocese de Olinda e Recife,Arquidiocese,,,,,,"paróquia São Lourenço da Mata, Região Metropolitana do Recife",,ver página de doações/trechos detectados,aorcomunicacao@gmail.com; paroquiaslm@hotmail.com; 2017-2025; 35250277; 81 3271.4270,Hector Ruiz; Héctor Ruiz,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/padre-hector-ruiz-concede-entrevista-ao-portal-zenit/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste II,"AL, PB, PE, RN",Arquidiocese de Olinda e Recife,Arquidiocese,,,,,,paróquia o Senhor está servindo a Igreja?,,ver página de doações/trechos detectados,aorcomunicacao@gmail.com; paroquiaslm@hotmail.com; 2017-2025; 35250277; 81 3271.4270,Hector Ruiz; Héctor Ruiz,http://www.arquidioceseolindarecife.org/,https://www.arquidioceseolindarecife.org/padre-hector-ruiz-concede-entrevista-ao-portal-zenit/,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Nordeste I,CE,Diocese de Crateús,Diocese,,,,,,comunidade local,,,,,https://diocesedecrateus.com.br/,https://diocesedecrateus.com.br/a-importncia-da-diocese-de-crates-na-comunidade-local,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,comunidade de fé: orientações e propostas)- diz o seguinte: “A Pastoral do,,ver página de doações/trechos detectados,,"Edileno Felix; José Carlos Pereira; Lelson Moraes 

 
 
 

 
 Caríssimos",https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/07/a-importancia-da-pastoral-do-dizimo.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,"comunidade no que diz respeito à sua colaboração, em sintonia com a pastoral de conjunto",,ver página de doações/trechos detectados,,"Edileno Felix; José Carlos Pereira; Lelson Moraes 

 
 
 

 
 Caríssimos",https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/07/a-importancia-da-pastoral-do-dizimo.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,paróquia não deve,,ver página de doações/trechos detectados,,"Edileno Felix; José Carlos Pereira; Lelson Moraes 

 
 
 

 
 Caríssimos",https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/07/a-importancia-da-pastoral-do-dizimo.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,"comunidade e também para a sua sustentação econômica. Se assim não for, o dízimo fica reduzido a",,ver página de doações/trechos detectados,,"Edileno Felix; José Carlos Pereira; Lelson Moraes 

 
 
 

 
 Caríssimos",https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/07/a-importancia-da-pastoral-do-dizimo.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,comunidade onde vivem e da qual fazem,,ver página de doações/trechos detectados,,"Edileno Felix; José Carlos Pereira; Lelson Moraes 

 
 
 

 
 Caríssimos",https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/07/a-importancia-da-pastoral-do-dizimo.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,comunidade e a mudar assim o entendimento em,,ver página de doações/trechos detectados,,"Edileno Felix; José Carlos Pereira; Lelson Moraes 

 
 
 

 
 Caríssimos",https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/07/a-importancia-da-pastoral-do-dizimo.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,comunidade e por entender que o dízimo é uma atitude de amor e fé. Por,,ver página de doações/trechos detectados,,"Edileno Felix; José Carlos Pereira; Lelson Moraes 

 
 
 

 
 Caríssimos",https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/07/a-importancia-da-pastoral-do-dizimo.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,comunidade de fé: orientações e,,ver página de doações/trechos detectados,,"Edileno Felix; José Carlos Pereira; Lelson Moraes 

 
 
 

 
 Caríssimos",https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/07/a-importancia-da-pastoral-do-dizimo.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Paróquia São Francisco de Paula e reitor do Santuário Diocesano Nossa Senhora de Nazaré,,ver página de doações/trechos detectados,,"Edileno Felix; José Carlos Pereira; Lelson Moraes 

 
 
 

 
 Caríssimos",https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/07/a-importancia-da-pastoral-do-dizimo.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Paróquia São Miguel faz envio de Dom Teodoro para o Sínodo para a Amazônia,,ver página de doações/trechos detectados,,Edileno Felix,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/10/paroquia-sao-miguel-faz-envio-de-dom.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Paróquia São Miguel Arcanjo,,ver página de doações/trechos detectados,,Edileno Felix,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/10/paroquia-sao-miguel-faz-envio-de-dom.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Paróquia de Curralinho promove curso de teologia para leigos,,ver página de doações/trechos detectados,,Antonio Cardoso; Edileno Felix; Washigton Tavares,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/06/paroquia-de-curralinho-promove-curso-de.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,"Paróquia São João Batista, em Curralinho",,ver página de doações/trechos detectados,,Antonio Cardoso; Edileno Felix; Washigton Tavares,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/06/paroquia-de-curralinho-promove-curso-de.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,paróquia que tem mais de sessenta comunidades. O jovem sacerdote elaborou a,,ver página de doações/trechos detectados,,Antonio Cardoso; Edileno Felix; Washigton Tavares,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/06/paroquia-de-curralinho-promove-curso-de.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,"Paróquia São Miguel Arcanjo, no distrito de",,ver página de doações/trechos detectados,,Edileno Felix,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/02/paroquias-da-diocese-promoverao.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,paróquia São Miguel visa justamente suscitar experiências,,ver página de doações/trechos detectados,,Edileno Felix,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/02/paroquias-da-diocese-promoverao.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Paróquia São João,,ver página de doações/trechos detectados,,Edileno Felix,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/02/paroquias-da-diocese-promoverao.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,"Paróquia São Francisco de Paula, em Muaná, vai realizar o seu “CarnaCristo” nos",,ver página de doações/trechos detectados,,Edileno Felix,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/02/paroquias-da-diocese-promoverao.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,"comunidade Nossa Senhora das Graças, setor 03",,ver página de doações/trechos detectados,,Edileno Felix,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/02/paroquias-da-diocese-promoverao.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,comunidade da paróquia. Em 2019 o tema será: “Fé e vida”; e o lema: “Mestre,,ver página de doações/trechos detectados,,Edileno Felix,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/02/paroquias-da-diocese-promoverao.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,"Paróquia São Sebastião realizará em 2019 o encontro chamado “Cristofolia”, com",,ver página de doações/trechos detectados,,Edileno Felix,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2019/02/paroquias-da-diocese-promoverao.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Paróquia de Curralinho sediará encontro regional da juventude,,ver página de doações/trechos detectados,,Edileno Felix,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2018/08/paroquia-de-curralinho-sediara-encontro.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,paróquia em Curralinho,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,paróquia foi desmembrada da Paróquia São João Batista e contará com 32 comunidades,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade Santa Izabel,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade São Luís Orione e,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,paróquia são as seguintes,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade Menino Jesus – Trapichinho – Rio Pará,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade Santa Maria – Furo Santa Maria,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade Santo Antônio – Rio Curupuú,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade São Miguel Arcanjo - Vila Calheira,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade Nossa Senhora do Livramento – Rio Oleiro,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade Nossa Senhora da Boa Esperança- Rio Boa Esperança,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade Santa Rosa de Lima II – Rio Ipanema,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade Sagrada Família,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade São João Apóstolo – Rio Pariacá,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade São João Paulo II – Rio Sova,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
Regional Norte II,"PA, AP",Diocese de Ponta de Pedras,Diocese,,,,,,Comunidade São João Evangelista – Rio Araçacá,,ver página de doações/trechos detectados,,Edileno Felix; Luciano Araújo; Tadeu Pimentel,https://diocesepontadepedras.blogspot.com/,https://diocesepontadepedras.blogspot.com/2023/08/e-criada-uma-nova-paroquia-em-curralinho.html,site_oficial_circunscricao,2026-06-07,candidato_extraido_automaticamente; requer_validacao_manual
